id,traceId,traceName,type,name,startTime,endTime,environment,level,input,output,latencyMs,Manual
89c71b1aa7d79772,6e9f27e16e4e8d0fe89062a732e39614,,CHAIN,RunnableSequence,22:25.2,22:26.1,default,DEFAULT,"{""problem"": ""We have completed the scheduled maintenance.""}","{""intent"": ""Information"", ""urgency"": ""Low"", ""tone"": ""Neutral""}",910,"[""Correct response""]"
0c9ef9eb7040e333,6e9f27e16e4e8d0fe89062a732e39614,,CHAIN,RunnableSequence,22:25.2,22:26.1,default,DEFAULT,"{""problem"": ""The server is down and customers cannot access the platform.""}","{""intent"": ""Complaint"", ""urgency"": ""High"", ""tone"": ""Urgent""}",911,"[""Correct response""]"
5491d8367199ed68,6e9f27e16e4e8d0fe89062a732e39614,,CHAIN,RunnableSequence,22:25.2,22:26.1,default,DEFAULT,"{""problem"": ""Please fix this issue immediately.""}","{""intent"": ""Request"", ""urgency"": ""High"", ""tone"": ""Urgent""}",910,"[""Correct response""]"
6723a703039d24ed,6e9f27e16e4e8d0fe89062a732e39614,,CHAIN,RunnableSequence,22:25.2,22:26.1,default,DEFAULT,"{""problem"": ""Can you provide an update on my request?""}","{""intent"": ""Request"", ""urgency"": ""Low"", ""tone"": ""Polite""}",911,"[""Correct response""]"
e8d7f3c8bd246a8b,6e9f27e16e4e8d0fe89062a732e39614,,CHAIN,RunnableSequence,22:25.2,22:26.1,default,DEFAULT,"{""problem"": ""Thank you for your assistance with this matter.""}","{""intent"": ""Information"", ""urgency"": ""Low"", ""tone"": ""Polite""}",911,"[""Correct response""]"
ae5679495d2b7f6b,3b8c518b737be4b448273e31a5873532,,CHAIN,RunnableSequence,46:42.2,46:42.7,default,DEFAULT,"{""problem"": ""The server is down and customers cannot access the platform.""}","{""intent"": ""Complaint"", ""urgency"": ""High"", ""tone"": ""Urgent""}",589,"[""Correct response""]"
28e5aa3ea6cb8565,f176506fd3ed3843fd69cbbcc29d18fd,,CHAIN,RunnableSequence,44:16.1,44:16.9,default,DEFAULT,"{""problem"": ""The server is down and customers cannot access the platform.""}","{""intent"": ""Complaint"", ""urgency"": ""High"", ""tone"": ""Urgent""}",846,"[""Correct response""]"
26a47b94139b9940,b8ac8278e7e88a1cd5ae6bc88dd008a0,,CHAIN,RunnableSequence,42:22.7,42:24.1,default,DEFAULT,"{""problem"": ""Please fix this issue immediately.""}","{""intent"": ""Request"", ""urgency"": ""High"", ""tone"": ""Urgent""}",1431,"[""Correct response\n""]"
fe3915b15a830235,7fd9f12c52373d0c5dc9621de340f3cd,,CHAIN,RunnableSequence,26:30.5,26:34.8,default,DEFAULT,"{""problem"": ""random words abc xyz nothing meaningful here""}","{""intent"": ""Unclear"", ""urgency"": ""Unclear"", ""tone"": ""Unclear""}",4302,"[""Correct response""]"
9cd90c6c12252177,7fd9f12c52373d0c5dc9621de340f3cd,,CHAIN,RunnableSequence,26:24.3,26:30.5,default,DEFAULT,"{""problem"": ""The migration was completed successfully.""}","{""intent"": ""Information"", ""urgency"": ""Low"", ""tone"": ""Neutral""}",6240,"[""Correct response""]"
